6,63418,0,4,2,1,8,YES
6,63418,0,4,2,1,8,YES
23,63418,2,4,2,2,8,YES
29,63418,1,4,2,1,6,YES
32,63418,2,4,2,0,3,YES
12,63418,2,4,2,0,1,YES
16,63418,1,4,2,0,1,YES
3,63418,1,4,2,0,3,YES
21,63418,1,4,2,0,6,YES
6,63418,1,4,2,2,3,YES
26,63418,2,4,2,0,1,YES
27,56943,0,7,2,0,1,YES
19,56943,0,7,2,1,0,YES
15,56943,0,7,2,1,0,YES
11,56943,2,7,2,2,1,YES
25,29622,0,5,2,1,3,YES
10,29622,0,5,2,1,1,YES
19,29622,0,5,2,1,3,YES
28,29622,0,5,2,2,1,YES
26,33782,0,5,2,0,0,YES
27,33782,0,5,2,0,6,YES
32,33782,0,5,2,0,1,YES
9,33782,0,5,2,0,0,YES
28,33782,0,5,2,0,1,YES
11,33782,0,5,2,0,3,YES
15,33782,0,5,2,0,1,YES
19,33782,0,5,2,1,1,YES
26,109666,0,4,2,1,7,YES
11,109666,0,4,2,1,2,YES
26,109666,0,4,2,0,7,YES
26,109666,0,4,2,0,0,YES
10,78271,0,5,2,0,3,YES
19,78271,0,5,2,1,6,YES
1,78271,0,5,2,0,6,YES
19,78271,0,5,2,1,2,YES
19,78271,0,5,2,1,2,YES
22,78271,0,5,2,0,0,YES
28,78271,0,5,2,0,1,YES
27,78271,0,5,2,0,6,YES
27,78271,0,5,2,0,6,YES
29,78271,0,5,2,0,1,YES
27,78271,0,5,2,2,3,YES
28,89930,0,5,2,1,1,YES
27,89930,0,5,2,1,2,YES
32,89930,2,5,2,1,7,YES
32,89930,0,5,2,1,2,YES
32,89930,0,5,2,1,1,YES
2,89930,0,5,2,1,3,YES
15,89930,0,5,2,1,3,YES
27,89930,2,5,2,1,1,YES
32,89930,0,5,2,1,2,YES
32,89930,0,5,2,0,6,YES
32,89930,0,5,2,2,2,YES
14,89930,1,5,2,2,3,YES
16,89930,0,5,2,2,1,YES
19,89930,2,5,2,1,4,YES
19,89930,2,5,2,1,2,YES
26,114256,0,4,2,1,3,YES
26,114256,0,4,2,2,1,YES
3,114256,1,4,2,2,3,YES
22,114256,0,4,2,2,4,YES
3,114256,0,4,2,2,6,YES
26,76262,0,4,2,0,1,YES
26,76262,0,4,2,0,0,YES
26,76262,0,4,2,0,1,YES
14,76262,0,4,2,2,1,YES
27,76262,0,4,2,0,3,YES
23,76262,0,4,2,2,3,YES
31,76262,0,4,2,0,1,YES
23,76262,1,4,2,0,2,YES
26,46105,2,7,2,1,2,YES
23,46105,2,7,2,1,2,YES
19,46105,2,7,2,1,1,YES
26,60224,0,7,2,1,4,YES
28,60224,0,7,2,0,6,YES
2,60224,0,7,2,0,1,YES
3,60224,0,7,2,0,7,YES
12,60224,0,7,2,0,1,YES
32,60224,0,7,2,0,1,YES
20,60224,0,7,2,1,9,YES
